timestamp,etappe_name,latitude,longitude,meteofrance_success,meteofrance_error,openmeteo_used,openmeteo_error,missing_fields,data_source,temperature_meteofrance,temperature_openmeteo,precipitation_meteofrance,precipitation_openmeteo,wind_speed_meteofrance,wind_speed_openmeteo,thunderstorm_meteofrance,alerts_meteofrance
2025-07-28T20:51:25.433225,Tarbes,43.2333,0.0833,True,,False,,"precipitation_probability,thunderstorm_probability",meteofrance-api,22.5,21.5,0,0.0,3,,No thunderstorm conditions detected (meteofrance-api),"wind:green,rain:green,thunderstorm:green,forest_fire:green,flood:green,snow:green"
2025-07-28T20:51:25.982520,Paris,48.8566,2.3522,True,,False,,"precipitation_probability,thunderstorm_probability",meteofrance-api,22.4,21.7,0,0.0,4,,No thunderstorm conditions detected (meteofrance-api),"wind:green,rain:green,thunderstorm:green,forest_fire:green,flood:green,snow:green"
