Location,Coordinates,Timestamp,Status,Entries_Analyzed,Total_Fields,Field_Name,Available,Availability_Percentage,Total_Entries,Non_Null_Entries,Sample_Values
Corte,"42.307, 9.15",2025-07-28T21:19:05.037538,success,6,11,sea_level,True,100.0,6,6,"[1010.6, 1011.1, 1011.7]"
Corte,"42.307, 9.15",2025-07-28T21:19:05.037538,success,6,11,T,True,100.0,6,6,"[{'value': 22.9, 'windchill': 23.1}, {'value': 19.7, 'windchill': 21.1}, {'value': 18.1, 'windchill': 21}]"
Corte,"42.307, 9.15",2025-07-28T21:19:05.037538,success,6,11,dt,True,100.0,6,6,"[1753725600, 1753729200, 1753732800]"
Corte,"42.307, 9.15",2025-07-28T21:19:05.037538,success,6,11,weather,True,100.0,6,6,"[{'icon': 'p1j', 'desc': 'Ensoleillé'}, {'icon': 'p1j', 'desc': 'Ensoleillé'}, {'icon': 'p1n', 'desc': 'Ciel clair'}]"
Corte,"42.307, 9.15",2025-07-28T21:19:05.037538,success,6,11,iso0,True,100.0,6,6,"[3600, 3600, 3600]"
Corte,"42.307, 9.15",2025-07-28T21:19:05.037538,success,6,11,rain,True,100.0,6,6,"[{'1h': 0}, {'1h': 0}, {'1h': 0}]"
Corte,"42.307, 9.15",2025-07-28T21:19:05.037538,success,6,11,rain snow limit,True,100.0,6,6,"['Non pertinent', 'Non pertinent', 'Non pertinent']"
Corte,"42.307, 9.15",2025-07-28T21:19:05.037538,success,6,11,snow,True,100.0,6,6,"[{'1h': 0}, {'1h': 0}, {'1h': 0}]"
Corte,"42.307, 9.15",2025-07-28T21:19:05.037538,success,6,11,humidity,True,100.0,6,6,"[40, 55, 70]"
Corte,"42.307, 9.15",2025-07-28T21:19:05.037538,success,6,11,wind,True,100.0,6,6,"[{'speed': 3, 'gust': 0, 'direction': 310, 'icon': 'NO'}, {'speed': 2, 'gust': 0, 'direction': 330, 'icon': 'NNO'}, {'speed': 2, 'gust': 0, 'direction': 325, 'icon': 'NO'}]"
Paris,"48.8566, 2.3522",2025-07-28T21:19:05.720609,success,6,11,clouds,True,100.0,6,6,"[40, 40, 10]"
Paris,"48.8566, 2.3522",2025-07-28T21:19:05.720609,success,6,11,sea_level,True,100.0,6,6,"[1020.4, 1020.7, 1021]"
Paris,"48.8566, 2.3522",2025-07-28T21:19:05.720609,success,6,11,T,True,100.0,6,6,"[{'value': 22.1, 'windchill': 23.6}, {'value': 21.1, 'windchill': 22.6}, {'value': 20.6, 'windchill': 22.6}]"
Paris,"48.8566, 2.3522",2025-07-28T21:19:05.720609,success,6,11,dt,True,100.0,6,6,"[1753725600, 1753729200, 1753732800]"
Paris,"48.8566, 2.3522",2025-07-28T21:19:05.720609,success,6,11,weather,True,100.0,6,6,"[{'icon': 'p2j', 'desc': 'Eclaircies'}, {'icon': 'p2j', 'desc': 'Eclaircies'}, {'icon': 'p1j', 'desc': 'Ensoleillé'}]"
Paris,"48.8566, 2.3522",2025-07-28T21:19:05.720609,success,6,11,iso0,True,100.0,6,6,"[2800, 2850, 2900]"
Paris,"48.8566, 2.3522",2025-07-28T21:19:05.720609,success,6,11,rain,True,100.0,6,6,"[{'1h': 0}, {'1h': 0}, {'1h': 0}]"
Paris,"48.8566, 2.3522",2025-07-28T21:19:05.720609,success,6,11,rain snow limit,True,100.0,6,6,"['Non pertinent', 'Non pertinent', 'Non pertinent']"
Paris,"48.8566, 2.3522",2025-07-28T21:19:05.720609,success,6,11,snow,True,100.0,6,6,"[{'1h': 0}, {'1h': 0}, {'1h': 0}]"
Paris,"48.8566, 2.3522",2025-07-28T21:19:05.720609,success,6,11,humidity,True,100.0,6,6,"[50, 50, 55]"
Paris,"48.8566, 2.3522",2025-07-28T21:19:05.720609,success,6,11,wind,True,100.0,6,6,"[{'speed': 3, 'gust': 0, 'direction': 300, 'icon': 'ONO'}, {'speed': 4, 'gust': 0, 'direction': 345, 'icon': 'NNO'}, {'speed': 3, 'gust': 0, 'direction': 340, 'icon': 'NNO'}]"
